Facility ID,Excess Readmission Ratio,Number of Readmissions,Number of Discharges,Readmission Rate
100315,0.8517,,0.0,
100315,0.0,0.0,0.0,
100315,0.0,0.0,0.0,
100316,0.903,,0.0,
100316,0.8796,32.0,231.0,13.852813852813853
100316,0.8626,16.0,152.0,10.526315789473683
100316,0.0,0.0,0.0,
100316,0.9344,,0.0,
100316,0.9876,45.0,275.0,16.363636363636363
100319,0.9258,50.0,350.0,14.285714285714285
100319,1.1473,,0.0,
100319,1.0121,86.0,405.0,21.23456790123457
100319,1.0144,20.0,103.0,19.41747572815534
100319,0.0,0.0,0.0,
100319,0.8879,,0.0,
100320,0.0,0.0,0.0,
100320,1.0753,26.0,95.0,27.368421052631582
100320,0.9715,,0.0,
100320,0.0,0.0,0.0,
100320,1.0275,21.0,117.0,17.94871794871795
100320,0.9834,,0.0,
100321,1.0162,77.0,444.0,17.34234234234234
100321,0.9929,,0.0,
100321,1.0447,81.0,359.0,22.56267409470752
100321,1.0152,24.0,121.0,19.834710743801654
100321,0.0,0.0,0.0,
100321,1.048,23.0,131.0,17.557251908396946
100329,1.001,,0.0,
100329,1.0306,24.0,107.0,22.429906542056074
100329,1.0384,,0.0,
100329,0.0,0.0,0.0,
100329,0.9586,13.0,107.0,12.149532710280374
100329,0.0,0.0,0.0,
100330,1.034,,0.0,
100330,0.0,0.0,0.0,
100330,1.0145,,0.0,
100330,0.0,0.0,0.0,
100330,0.0,0.0,0.0,
100330,0.0,0.0,0.0,
100350,0.0,0.0,0.0,
100350,1.0126,,0.0,
100350,0.0,0.0,0.0,
100350,0.0,0.0,0.0,
100350,1.0212,,0.0,
100350,0.0,0.0,0.0,
100359,0.8444,35.0,336.0,10.416666666666668
100359,0.9632,,0.0,
100359,1.0312,81.0,379.0,21.372031662269126
100359,1.0077,23.0,117.0,19.65811965811966
100359,0.0,0.0,0.0,
100359,0.9611,12.0,103.0,11.650485436893204
100360,0.0,0.0,0.0,
100360,0.0,0.0,0.0,
100360,0.0,0.0,0.0,
100360,0.0,0.0,0.0,
100360,0.0,0.0,0.0,
100360,0.0,0.0,0.0,
100361,0.9855,,0.0,
100361,0.0,0.0,0.0,
100361,0.0,0.0,0.0,
100361,0.0,0.0,0.0,
100361,0.0,0.0,0.0,
100361,0.0,0.0,0.0,
100362,0.0,0.0,0.0,
100362,0.0,0.0,0.0,
100362,0.0,0.0,0.0,
100362,0.0,0.0,0.0,
100362,0.0,0.0,0.0,
100362,0.0,0.0,0.0,
100363,0.0,0.0,0.0,
100363,0.0,0.0,0.0,
100363,0.0,0.0,0.0,
100363,0.0,0.0,0.0,
100363,0.0,0.0,0.0,
100363,0.0,0.0,0.0,
110001,0.0,0.0,0.0,
110001,0.9519,75.0,414.0,18.115942028985508
110001,1.064,26.0,116.0,22.413793103448278
110001,1.1242,,0.0,
110001,1.0016,55.0,344.0,15.988372093023257
110001,0.9806,20.0,157.0,12.738853503184714
110002,1.0604,19.0,102.0,18.627450980392158
110002,0.0,0.0,0.0,
110002,1.0243,15.0,77.0,19.480519480519483
110002,0.9625,,0.0,
110002,0.0,0.0,0.0,
110002,1.0768,,0.0,
110003,0.0,0.0,0.0,
110003,1.0029,39.0,198.0,19.696969696969695
110003,1.0318,12.0,52.0,23.076923076923077
110003,0.0,0.0,0.0,
110003,0.9374,33.0,246.0,13.414634146341465
110003,1.0254,11.0,82.0,13.414634146341465
110005,0.9891,82.0,540.0,15.185185185185185
110005,0.8814,,0.0,
110005,0.9663,109.0,593.0,18.381112984822934
110005,0.9108,18.0,137.0,13.138686131386862
110005,0.0,0.0,0.0,
110005,0.9106,14.0,160.0,8.75
110006,0.9448,,0.0,
110006,1.0334,41.0,203.0,20.19704433497537
110006,0.9997,,0.0,
110006,0.0,0.0,0.0,
110006,0.9796,14.0,133.0,10.526315789473683
110006,1.0074,29.0,184.0,15.760869565217392
110007,0.9273,41.0,314.0,13.05732484076433
110007,1.0456,,0.0,
110007,1.0259,90.0,432.0,20.833333333333336
110007,1.1133,51.0,229.0,22.270742358078603
110007,1.0277,,0.0,
110007,1.1009,29.0,176.0,16.477272727272727
110008,1.0224,,0.0,
110008,0.9613,103.0,551.0,18.69328493647913
110008,1.0323,36.0,175.0,20.57142857142857
110008,0.0,0.0,0.0,
110008,1.0479,88.0,514.0,17.120622568093385
110008,0.8818,15.0,174.0,8.620689655172415
110010,1.0356,70.0,383.0,18.27676240208877
110010,1.0243,,0.0,
110010,1.0081,106.0,556.0,19.06474820143885
110010,0.8938,,0.0,
110010,0.9855,,0.0,
110010,0.9628,13.0,109.0,11.926605504587156
110011,0.0,0.0,0.0,
110011,1.0424,59.0,287.0,20.557491289198605
110011,0.9626,17.0,115.0,14.782608695652174
110011,0.0,0.0,0.0,
110011,0.9977,46.0,312.0,14.743589743589745
110011,0.9984,19.0,150.0,12.666666666666668
110015,1.0503,22.0,126.0,17.46031746031746
110015,0.0,0.0,0.0,
110015,1.1228,34.0,122.0,27.86885245901639
110015,1.0284,13.0,66.0,19.696969696969695
110015,0.0,0.0,0.0,
110015,1.0477,,0.0,
110016,0.0,0.0,0.0,
110016,1.0679,76.0,342.0,22.22222222222222
110016,0.9275,,0.0,
110016,0.0,0.0,0.0,
110016,0.9835,32.0,211.0,15.165876777251185
110016,1.0208,,0.0,
110018,0.9816,18.0,130.0,13.846153846153847
110018,1.0496,,0.0,
110018,1.0388,45.0,212.0,21.22641509433962
110018,0.9649,,0.0,
110018,0.0,0.0,0.0,
110018,0.0,0.0,0.0,
110023,0.9733,35.0,210.0,16.666666666666664
110023,0.0,0.0,0.0,
110023,0.9791,31.0,156.0,19.871794871794872
110023,0.9891,,0.0,
110023,0.0,0.0,0.0,
110023,1.0252,,0.0,
110024,1.0224,31.0,190.0,16.315789473684212
110024,0.0,0.0,0.0,
110024,0.9221,25.0,175.0,14.285714285714285
110024,0.9542,17.0,121.0,14.049586776859504
110024,0.0,0.0,0.0,
110024,0.0,0.0,0.0,
110025,1.1987,,0.0,
110025,0.9957,106.0,545.0,19.449541284403672
110025,1.0284,30.0,159.0,18.867924528301888
110025,0.0,0.0,0.0,
110025,1.06,84.0,489.0,17.177914110429448
110025,0.9519,13.0,114.0,11.403508771929824
110027,0.9858,14.0,115.0,12.173913043478262
110027,0.0,0.0,0.0,
110027,1.0637,18.0,78.0,23.076923076923077
110027,0.9617,,0.0,
110027,0.0,0.0,0.0,
110027,0.0,0.0,0.0,
110028,1.0167,,0.0,
110028,1.0108,201.0,977.0,20.573183213920164
110028,0.9788,31.0,185.0,16.756756756756758
110028,1.0692,16.0,126.0,12.698412698412698
110028,1.0038,87.0,547.0,15.904936014625228
110028,0.9347,44.0,373.0,11.796246648793565
110029,0.9518,164.0,1110.0,14.774774774774773
110029,1.1577,,0.0,
110029,0.9473,265.0,1460.0,18.15068493150685
110029,0.9687,88.0,490.0,17.959183673469386
110029,1.1437,44.0,325.0,13.538461538461538
110029,0.8373,66.0,705.0,9.361702127659575
110030,0.9288,,0.0,
110030,1.0599,69.0,284.0,24.295774647887324
110030,0.9309,,0.0,
110030,0.0,0.0,0.0,
110030,1.0258,44.0,248.0,17.741935483870968
110030,1.044,16.0,83.0,19.27710843373494
110031,0.976,28.0,187.0,14.973262032085561
110031,0.0,0.0,0.0,
110031,1.0129,38.0,196.0,19.387755102040817
110031,1.003,17.0,97.0,17.525773195876287
110031,0.0,0.0,0.0,
110031,1.2268,23.0,88.0,26.136363636363637
110032,0.0,0.0,0.0,
110032,0.9813,11.0,71.0,15.492957746478872
110032,1.0456,,0.0,
110032,0.0,0.0,0.0,
110032,0.0,0.0,0.0,
110032,1.0171,13.0,81.0,16.049382716049383
110034,1.0205,32.0,178.0,17.97752808988764
110034,0.0,0.0,0.0,
110034,1.0921,53.0,208.0,25.48076923076923
110034,1.0395,15.0,70.0,21.428571428571427
110034,1.0147,,0.0,
110034,0.9811,14.0,117.0,11.965811965811966
110035,1.1329,,0.0,
110035,0.907,213.0,1240.0,17.17741935483871
110035,0.9548,40.0,234.0,17.094017094017094
110035,1.015,31.0,277.0,11.191335740072201
110035,0.9689,137.0,916.0,14.956331877729257
110035,0.8784,32.0,343.0,9.329446064139942
110036,0.9711,74.0,481.0,15.384615384615385
110036,1.2173,,0.0,
110036,0.9567,87.0,493.0,17.647058823529413
110036,1.0593,17.0,67.0,25.37313432835821
110036,1.0819,11.0,84.0,13.095238095238097
110036,1.1229,40.0,252.0,15.873015873015872
110038,1.2325,,0.0,
110038,1.0043,56.0,284.0,19.718309859154928
110038,1.025,13.0,61.0,21.311475409836063
110038,0.0,0.0,0.0,
110038,0.9324,32.0,247.0,12.955465587044534
110038,0.9859,19.0,139.0,13.66906474820144
110041,0.9873,11.0,86.0,12.790697674418606
110041,0.0,0.0,0.0,
110041,0.96,,0.0,
110041,0.9696,,0.0,
110041,0.0,0.0,0.0,
110041,0.0,0.0,0.0,
110042,0.0,0.0,0.0,
110042,1.0517,138.0,621.0,22.22222222222222
110042,1.0182,26.0,139.0,18.705035971223023
110042,0.0,0.0,0.0,
110042,1.0977,77.0,421.0,18.28978622327791
110042,0.9642,,0.0,
110043,1.0745,42.0,224.0,18.75
110043,0.9824,,0.0,
110043,0.9996,65.0,361.0,18.005540166204987
110043,0.9557,20.0,128.0,15.625
110043,0.8609,,0.0,
110043,0.9836,19.0,168.0,11.30952380952381
110044,0.0,0.0,0.0,
110044,1.0504,15.0,63.0,23.809523809523807
110044,1.0318,,0.0,
110044,0.0,0.0,0.0,
110044,0.0,0.0,0.0,
110044,0.9914,,0.0,
110045,1.0199,11.0,62.0,17.741935483870968
110045,0.0,0.0,0.0,
110045,0.0,0.0,0.0,
110045,1.0234,,0.0,
110045,0.0,0.0,0.0,
110045,0.0,0.0,0.0,
110046,0.0,0.0,0.0,
110046,1.0205,40.0,179.0,22.3463687150838
110046,1.0188,11.0,52.0,21.153846153846153
110046,0.0,0.0,0.0,
110046,0.9645,21.0,160.0,13.125
110046,0.0,0.0,0.0,
110050,0.9207,,0.0,
110050,0.0,0.0,0.0,
110050,0.9756,,0.0,
110050,0.9966,,0.0,
110050,0.0,0.0,0.0,
110050,0.0,0.0,0.0,
110051,1.1182,,0.0,
110051,1.0195,31.0,163.0,19.018404907975462
110051,0.9893,13.0,76.0,17.105263157894736
110051,0.0,0.0,0.0,
110051,0.9671,31.0,230.0,13.478260869565217
110051,0.0,0.0,0.0,
110054,0.9992,67.0,407.0,16.461916461916463
110054,1.0614,,0.0,
110054,0.9673,84.0,424.0,19.81132075471698
110054,1.0253,46.0,214.0,21.49532710280374
110054,0.0,0.0,0.0,
110054,1.0516,27.0,164.0,16.463414634146343
110064,0.9664,,0.0,
110064,0.0,0.0,0.0,
110064,0.9844,37.0,182.0,20.32967032967033
110064,1.0147,16.0,79.0,20.253164556962027
110064,0.0,0.0,0.0,
110064,0.972,50.0,287.0,17.421602787456447
110069,1.1346,93.0,463.0,20.086393088552914
110069,1.0007,,0.0,
110069,0.9157,72.0,446.0,16.143497757847534
110069,0.9845,37.0,205.0,18.048780487804876
110069,0.0,0.0,0.0,
110069,1.1214,32.0,179.0,17.877094972067038
110071,0.9985,,0.0,
110071,0.0,0.0,0.0,
110071,0.0,0.0,0.0,
110071,0.0,0.0,0.0,
110071,0.0,0.0,0.0,
110071,0.0,0.0,0.0,
110073,0.9988,,0.0,
110073,0.0,0.0,0.0,
110073,0.0,0.0,0.0,
110073,1.0217,,0.0,
110073,0.0,0.0,0.0,
110073,0.0,0.0,0.0,
110074,0.9972,95.0,544.0,17.463235294117645
110074,0.0,0.0,0.0,
110074,1.0151,202.0,943.0,21.42099681866384
110074,1.007,45.0,222.0,20.27027027027027
110074,1.0271,14.0,143.0,9.79020979020979
110074,1.0323,42.0,302.0,13.90728476821192
110075,0.9683,34.0,221.0,15.384615384615385
110075,1.0209,,0.0,
110075,1.0077,53.0,249.0,21.285140562248998
110075,1.0316,17.0,77.0,22.07792207792208
110075,0.0,0.0,0.0,
110075,1.0924,18.0,87.0,20.689655172413794
110076,0.9781,26.0,182.0,14.285714285714285
110076,1.2468,,0.0,
110076,1.0527,56.0,266.0,21.052631578947366
110076,1.0031,12.0,63.0,19.047619047619047
110076,0.0,0.0,0.0,
110076,1.0565,15.0,89.0,16.853932584269664
110078,0.9972,26.0,152.0,17.105263157894736
110078,1.0204,,0.0,
110078,1.1135,99.0,404.0,24.504950495049506
110078,1.0186,17.0,78.0,21.794871794871796
110078,0.9501,,0.0,
110078,0.9548,12.0,91.0,13.186813186813188
110079,0.9566,17.0,125.0,13.600000000000001
110079,0.0,0.0,0.0,
110079,1.1354,54.0,205.0,26.34146341463415
110079,0.9849,,0.0,
110079,0.0,0.0,0.0,
110079,1.0283,,0.0,
110082,0.9933,59.0,406.0,14.532019704433496
110082,0.8894,,0.0,
110082,1.0145,146.0,754.0,19.363395225464192
110082,0.9917,16.0,91.0,17.582417582417584
110082,1.0399,26.0,267.0,9.737827715355806
110082,1.0075,23.0,182.0,12.637362637362637
110083,0.9298,41.0,302.0,13.57615894039735
110083,0.9862,,0.0,
110083,0.9455,171.0,927.0,18.446601941747574
110083,0.9714,13.0,81.0,16.049382716049383
110083,0.945,32.0,356.0,8.98876404494382
110083,0.9865,49.0,364.0,13.461538461538462
110086,0.9905,,0.0,
110086,0.0,0.0,0.0,
110086,0.0,0.0,0.0,
110086,0.0,0.0,0.0,
110086,0.0,0.0,0.0,
110086,0.0,0.0,0.0,
110087,0.9412,92.0,585.0,15.726495726495726
110087,0.8623,,0.0,
110087,1.0738,137.0,607.0,22.57001647446458
110087,0.9996,30.0,159.0,18.867924528301888
110087,0.9369,14.0,153.0,9.15032679738562
110087,0.9285,22.0,191.0,11.518324607329843
110089,1.0566,30.0,159.0,18.867924528301888
110089,0.0,0.0,0.0,
110089,0.9903,21.0,114.0,18.421052631578945
110089,1.0978,21.0,84.0,25.0
110089,0.0,0.0,0.0,
110089,1.044,,0.0,
110091,1.0927,44.0,205.0,21.463414634146343
110091,0.0,0.0,0.0,
110091,0.9762,48.0,259.0,18.53281853281853
110091,1.0495,14.0,54.0,25.925925925925924
110091,0.0,0.0,0.0,
110091,0.9833,,0.0,
110092,0.9915,,0.0,
110092,0.0,0.0,0.0,
110092,0.0,0.0,0.0,
110092,0.9368,,0.0,
110092,0.0,0.0,0.0,
110092,0.0,0.0,0.0,
110095,1.0552,41.0,226.0,18.141592920353983
110095,0.0,0.0,0.0,
110095,1.0479,49.0,226.0,21.68141592920354
110095,1.015,26.0,127.0,20.47244094488189
110095,0.0,0.0,0.0,
110095,0.9595,,0.0,
110100,0.0,0.0,0.0,
110100,0.0,0.0,0.0,
110100,0.0,0.0,0.0,
110100,0.0,0.0,0.0,
110100,0.0,0.0,0.0,
110100,0.0,0.0,0.0,
110101,0.0,0.0,0.0,
110101,0.0,0.0,0.0,
110101,0.0,0.0,0.0,
110101,0.0,0.0,0.0,
110101,0.0,0.0,0.0,
110101,0.0,0.0,0.0,
110104,1.0486,22.0,111.0,19.81981981981982
110104,0.0,0.0,0.0,
110104,0.9623,11.0,77.0,14.285714285714285
110104,0.9891,,0.0,
110104,0.0,0.0,0.0,
110104,0.0,0.0,0.0,
110105,1.1731,38.0,150.0,25.333333333333336
110105,0.0,0.0,0.0,
110105,1.1491,50.0,181.0,27.624309392265197
110105,1.1058,23.0,82.0,28.04878048780488
110105,0.0,0.0,0.0,
110105,0.939,,0.0,
110107,0.9882,58.0,343.0,16.909620991253643
110107,0.9297,,0.0,
110107,0.956,95.0,493.0,19.26977687626775
110107,0.9776,24.0,131.0,18.3206106870229
110107,0.965,19.0,203.0,9.35960591133005
110107,0.9848,52.0,391.0,13.299232736572892
110109,0.9726,,0.0,
110109,0.0,0.0,0.0,
110109,1.0215,16.0,71.0,22.535211267605636
110109,0.9707,,0.0,
110109,0.0,0.0,0.0,
110109,0.0,0.0,0.0,
110111,1.0679,,0.0,
110111,0.0,0.0,0.0,
110111,0.0,0.0,0.0,
110111,0.0,0.0,0.0,
110111,0.0,0.0,0.0,
110111,0.0,0.0,0.0,
110113,0.0,0.0,0.0,
110113,0.0,0.0,0.0,
110113,0.0,0.0,0.0,
110113,0.0,0.0,0.0,
110113,0.0,0.0,0.0,
110113,0.0,0.0,0.0,
110121,0.0,0.0,0.0,
110121,0.0,0.0,0.0,
110121,0.0,0.0,0.0,
110121,0.0,0.0,0.0,
110121,0.0,0.0,0.0,
110121,0.0,0.0,0.0,
110122,0.9705,88.0,554.0,15.884476534296029
110122,0.0,0.0,0.0,
110122,1.0816,110.0,474.0,23.20675105485232
110122,1.0244,36.0,190.0,18.947368421052634
110122,0.9267,,0.0,
110122,1.0519,32.0,200.0,16.0
110124,0.9488,13.0,115.0,11.304347826086957
110124,0.0,0.0,0.0,
110124,0.9963,,0.0,
110124,1.013,,0.0,
110124,0.0,0.0,0.0,
110124,0.0,0.0,0.0,
110125,1.0092,53.0,320.0,16.5625
110125,0.0,0.0,0.0,
110125,1.0278,46.0,204.0,22.54901960784314
110125,1.0053,11.0,62.0,17.741935483870968
110125,0.0,0.0,0.0,
110125,1.0178,,0.0,
110128,0.9607,11.0,90.0,12.222222222222221
110128,0.0,0.0,0.0,
110128,0.9275,17.0,129.0,13.178294573643413
110128,1.0509,,0.0,
110128,0.0,0.0,0.0,
110128,0.9657,,0.0,
110129,0.9994,47.0,305.0,15.40983606557377
110129,0.8924,,0.0,
110129,0.9236,81.0,511.0,15.851272015655576
110129,0.9606,19.0,125.0,15.2
110129,0.9858,,0.0,
110129,0.9389,18.0,194.0,9.278350515463918
110132,0.9923,,0.0,
110132,0.0,0.0,0.0,
110132,1.0156,,0.0,
110132,0.0,0.0,0.0,
110132,0.0,0.0,0.0,
110132,0.0,0.0,0.0,
110135,0.9957,,0.0,
110135,0.0,0.0,0.0,
110135,1.0645,11.0,36.0,30.555555555555557
110135,0.9967,,0.0,
110135,0.0,0.0,0.0,
110135,0.0,0.0,0.0,
110142,0.974,,0.0,
110142,0.0,0.0,0.0,
110142,0.0,0.0,0.0,
110142,0.0,0.0,0.0,
110142,0.0,0.0,0.0,
110142,0.0,0.0,0.0,
110143,0.9886,53.0,333.0,15.915915915915916
110143,1.3185,,0.0,
110143,1.0004,93.0,449.0,20.71269487750557
110143,1.0004,14.0,74.0,18.91891891891892
110143,0.0,0.0,0.0,
110143,1.0193,11.0,72.0,15.277777777777779
110146,0.9022,,0.0,
110146,0.0,0.0,0.0,
110146,1.007,11.0,61.0,18.0327868852459
110146,0.0,0.0,0.0,
110146,0.0,0.0,0.0,
110146,0.0,0.0,0.0,
110150,1.0005,16.0,104.0,15.384615384615385
110150,0.0,0.0,0.0,
110150,0.932,13.0,98.0,13.26530612244898
110150,1.025,,0.0,
110150,0.0,0.0,0.0,
110150,0.0,0.0,0.0,
110153,0.9658,12.0,99.0,12.121212121212121
110153,1.0868,,0.0,
110153,0.9804,12.0,70.0,17.142857142857142
110153,0.9814,,0.0,
110153,0.0,0.0,0.0,
110153,0.0,0.0,0.0,
110161,1.0305,68.0,402.0,16.91542288557214
110161,0.9536,,0.0,
110161,0.9908,61.0,329.0,18.541033434650455
110161,1.133,21.0,72.0,29.166666666666668
110161,0.0,0.0,0.0,
110161,1.0495,,0.0,
110164,1.0273,47.0,253.0,18.57707509881423
110164,0.0,0.0,0.0,
110164,1.048,49.0,214.0,22.897196261682243
110164,0.9574,11.0,85.0,12.941176470588237
110164,1.0091,,0.0,
110164,0.9371,15.0,135.0,11.11111111111111
110165,0.9945,,0.0,
110165,0.0,0.0,0.0,
110165,0.9785,16.0,94.0,17.02127659574468
110165,0.0,0.0,0.0,
110165,0.0,0.0,0.0,
110165,0.0,0.0,0.0,
110168,1.0081,84.0,458.0,18.340611353711793
110168,1.1119,,0.0,
110168,0.9462,127.0,662.0,19.184290030211482
110168,1.0341,29.0,125.0,23.200000000000003
110168,1.0239,16.0,122.0,13.114754098360656
110168,1.0461,61.0,366.0,16.666666666666664
110177,0.9828,46.0,283.0,16.25441696113074
110177,1.1602,,0.0,
110177,1.082,52.0,214.0,24.299065420560748
110177,0.9758,14.0,84.0,16.666666666666664
110177,0.0,0.0,0.0,
110177,0.9259,,0.0,
110184,0.9421,28.0,209.0,13.397129186602871
110184,0.0,0.0,0.0,
110184,0.8885,46.0,303.0,15.181518151815181
110184,1.0329,13.0,55.0,23.636363636363637
110184,0.0,0.0,0.0,
110184,1.0738,12.0,54.0,22.22222222222222
110190,0.0,0.0,0.0,
110190,0.0,0.0,0.0,
110190,0.0,0.0,0.0,
110190,0.0,0.0,0.0,
110190,0.0,0.0,0.0,
110190,0.0,0.0,0.0,
110191,1.0715,52.0,260.0,20.0
110191,0.8838,,0.0,
110191,1.0938,118.0,501.0,23.55289421157685
110191,1.0237,21.0,102.0,20.588235294117645
110191,0.0,0.0,0.0,
110191,0.9564,,0.0,
110192,1.1183,45.0,210.0,21.428571428571427
110192,0.0,0.0,0.0,
110192,1.0245,48.0,240.0,20.0
110192,1.0541,18.0,81.0,22.22222222222222
110192,0.0,0.0,0.0,
110192,0.9633,11.0,96.0,11.458333333333332
110194,0.9901,,0.0,
110194,0.0,0.0,0.0,
110194,0.0,0.0,0.0,
110194,0.0,0.0,0.0,
110194,0.0,0.0,0.0,
110194,0.0,0.0,0.0,
110198,0.9793,40.0,291.0,13.745704467353953
110198,0.0,0.0,0.0,
110198,1.0021,43.0,229.0,18.777292576419214
110198,1.0866,11.0,37.0,29.72972972972973
110198,0.0,0.0,0.0,
110198,1.038,11.0,80.0,13.750000000000002
110200,0.957,25.0,194.0,12.886597938144329
110200,1.0387,,0.0,
110200,0.976,30.0,172.0,17.441860465116278
110200,0.994,12.0,63.0,19.047619047619047
110200,0.0,0.0,0.0,
110200,0.0,0.0,0.0,
110201,0.9287,,0.0,
110201,0.0,0.0,0.0,
110201,1.0974,24.0,89.0,26.96629213483146
110201,0.0,0.0,0.0,
110201,0.0,0.0,0.0,
110201,0.0,0.0,0.0,
110209,0.0,0.0,0.0,
110209,0.0,0.0,0.0,
110209,0.0,0.0,0.0,
110209,0.0,0.0,0.0,
110209,0.0,0.0,0.0,
110209,0.0,0.0,0.0,
110215,1.0784,83.0,457.0,18.161925601750546
110215,1.1365,,0.0,
110215,1.0656,143.0,679.0,21.06038291605302
110215,1.0668,28.0,125.0,22.400000000000002
110215,0.0,0.0,0.0,
110215,0.9389,16.0,159.0,10.062893081761008
110225,0.9173,32.0,260.0,12.307692307692308
110225,0.0,0.0,0.0,
110225,0.9986,50.0,254.0,19.68503937007874
110225,0.9819,,0.0,
110225,0.0,0.0,0.0,
110225,0.0,0.0,0.0,
110226,0.969,,0.0,
110226,0.0,0.0,0.0,
110226,1.0771,20.0,73.0,27.397260273972602
110226,0.0,0.0,0.0,
110226,0.0,0.0,0.0,
110226,0.0,0.0,0.0,
110229,1.0512,48.0,268.0,17.91044776119403
110229,0.9373,,0.0,
110229,0.9673,84.0,436.0,19.26605504587156
110229,1.05,21.0,88.0,23.863636363636363
110229,0.0,0.0,0.0,
110229,0.9777,12.0,95.0,12.631578947368421
110230,0.9812,45.0,300.0,15.0
110230,1.0762,,0.0,
110230,1.0162,65.0,330.0,19.696969696969695
110230,1.01,,0.0,
110230,0.0,0.0,0.0,
110230,0.9648,,0.0,
110233,0.0,0.0,0.0,
110233,0.0,0.0,0.0,
110233,0.0,0.0,0.0,
110233,0.0,0.0,0.0,
110233,0.0,0.0,0.0,
110233,0.0,0.0,0.0,
110234,0.0,0.0,0.0,
110234,0.0,0.0,0.0,
110234,0.0,0.0,0.0,
110234,0.0,0.0,0.0,
110234,0.0,0.0,0.0,
110234,0.0,0.0,0.0,
110236,0.9704,,0.0,
110236,0.0,0.0,0.0,
110236,1.0093,,0.0,
110236,0.0,0.0,0.0,
110236,0.0,0.0,0.0,
110236,0.0,0.0,0.0,
110237,0.9476,,0.0,
110237,0.0,0.0,0.0,
110237,0.9824,,0.0,
110237,0.9849,,0.0,
110237,0.0,0.0,0.0,
110237,0.0,0.0,0.0,
110252,1.0095,22.0,126.0,17.46031746031746
110252,0.0,0.0,0.0,
110252,0.9687,13.0,83.0,15.66265060240964
110252,1.0744,13.0,40.0,32.5
110252,0.0,0.0,0.0,
110252,0.0,0.0,0.0,
120001,1.0598,97.0,573.0,16.92844677137871
120001,1.2636,,0.0,
120001,0.8865,98.0,612.0,16.013071895424837
120001,0.9852,17.0,115.0,14.782608695652174
120001,1.0076,13.0,115.0,11.304347826086957
120001,1.0712,49.0,285.0,17.192982456140353
120002,0.9282,18.0,163.0,11.042944785276074
120002,0.0,0.0,0.0,
120002,0.9527,19.0,140.0,13.571428571428571
120002,0.9527,,0.0,
120002,0.0,0.0,0.0,
120002,0.9981,,0.0,
120004,0.9473,,0.0,
120004,0.0,0.0,0.0,
120004,0.0,0.0,0.0,
120004,0.0,0.0,0.0,
120004,0.0,0.0,0.0,
120004,0.0,0.0,0.0,
120005,0.9532,30.0,242.0,12.396694214876034
120005,0.0,0.0,0.0,
120005,0.9839,41.0,247.0,16.599190283400812
120005,1.0435,11.0,61.0,18.0327868852459
120005,0.0,0.0,0.0,
120005,1.0709,19.0,135.0,14.074074074074074
120006,1.0749,37.0,183.0,20.21857923497268
120006,1.0104,,0.0,
120006,1.0022,19.0,96.0,19.791666666666664
120006,1.0376,,0.0,
120006,0.0,0.0,0.0,
120006,0.9405,17.0,145.0,11.724137931034482
120007,1.0089,32.0,210.0,15.238095238095239
120007,0.805,,0.0,
120007,0.9651,17.0,108.0,15.74074074074074
120007,0.0,0.0,0.0,
120007,0.0,0.0,0.0,
120007,0.999,,0.0,
120011,1.0387,,0.0,
120011,0.0,0.0,0.0,
120011,0.9743,,0.0,
120011,0.0,0.0,0.0,
120011,0.0,0.0,0.0,
120011,1.0165,,0.0,
120014,0.9628,,0.0,
120014,0.0,0.0,0.0,
120014,1.0538,26.0,127.0,20.47244094488189
120014,0.0,0.0,0.0,
120014,0.0,0.0,0.0,
120014,0.0,0.0,0.0,
120019,1.0589,19.0,107.0,17.75700934579439
120019,0.0,0.0,0.0,
120019,1.0553,15.0,67.0,22.388059701492537
120019,0.9933,,0.0,
120019,0.0,0.0,0.0,
120019,0.0,0.0,0.0,
120022,0.9056,24.0,240.0,10.0
120022,0.9531,,0.0,
120022,0.8412,23.0,230.0,10.0
120022,1.0438,,0.0,
120022,0.9089,,0.0,
120022,1.0099,20.0,152.0,13.157894736842104
120026,0.9716,43.0,320.0,13.4375
120026,0.0,0.0,0.0,
120026,1.1488,60.0,227.0,26.431718061674008
120026,0.0,0.0,0.0,
120026,0.0,0.0,0.0,
120026,1.0131,26.0,174.0,14.942528735632186
120028,0.935,,0.0,
120028,0.0,0.0,0.0,
120028,0.984,,0.0,
120028,0.0,0.0,0.0,
120028,0.0,0.0,0.0,
120028,0.0,0.0,0.0,
130002,0.9642,37.0,284.0,13.028169014084506
130002,0.0,0.0,0.0,
130002,0.8621,34.0,286.0,11.888111888111888
130002,0.9512,,0.0,
130002,0.0,0.0,0.0,
130002,0.855,16.0,230.0,6.956521739130435
130003,0.9741,26.0,179.0,14.52513966480447
130003,0.0,0.0,0.0,
130003,0.9816,30.0,169.0,17.75147928994083
130003,0.9093,,0.0,
130003,0.0,0.0,0.0,
130003,0.8992,20.0,212.0,9.433962264150944
130006,0.8773,46.0,416.0,11.057692307692307
130006,1.0534,,0.0,
130006,0.739,57.0,562.0,10.142348754448399
130006,0.9366,18.0,134.0,13.432835820895523
130006,0.8801,,0.0,
130006,0.8498,35.0,441.0,7.936507936507936
130007,0.9724,22.0,165.0,13.333333333333334
130007,0.9608,,0.0,
130007,0.8507,37.0,294.0,12.585034013605442
130007,0.9257,,0.0,
130007,1.0492,11.0,92.0,11.956521739130435
130007,0.9247,21.0,228.0,9.210526315789473
